datetime,top_10,percent_change_values
2010-10-04,[],[]
2010-10-11,[],[]
2010-10-18,[],[]
2010-10-25,[],[]
2010-11-01,[],[]
2010-11-08,[],[]
2010-11-15,[],[]
2010-11-22,[],[]
2010-11-29,[],[]
2010-12-06,[],[]
2010-12-13,[],[]
2010-12-20,[],[]
2010-12-27,[],[]
2011-01-03,[],[]
2011-01-10,[],[]
2011-01-17,[],[]
2011-01-24,[],[]
2011-01-31,[],[]
2011-02-07,[],[]
2011-02-14,[],[]
2011-02-21,[],[]
2011-02-28,[],[]
2011-03-07,[],[]
2011-03-14,[],[]
2011-03-21,[],[]
2011-03-28,[],[]
2011-04-04,[],[]
2011-04-11,[],[]
2011-04-18,[],[]
2011-04-25,[],[]
2011-05-02,[],[]
2011-05-09,[],[]
2011-05-16,[],[]
2011-05-23,[],[]
2011-05-30,[],[]
2011-06-06,[],[]
2011-06-13,[],[]
2011-06-20,[],[]
2011-06-27,[],[]
2011-07-04,[],[]
2011-07-11,[],[]
2011-07-18,[],[]
2011-07-25,[],[]
2011-08-01,[],[]
2011-08-08,[],[]
2011-08-15,[],[]
2011-08-22,[],[]
2011-08-29,[],[]
2011-09-05,[],[]
2011-09-12,[],[]
2011-09-19,[],[]
2011-09-26,[],[]
2011-10-03,[],[]
2011-10-10,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'DLF.NS', 'VDAN.NS', 'JNSP.NS', 'JAIA.NS', 'IDFC.NS']","[0.0587947084762371, 0.0993394638000258, 0.0872011151445481, 0.0214285714285713, 0.0703269586674892, 0.0792171481826654, 0.1114199090449721, 0.0993717277486912, 0.0082135523613964, 0.0736434430860175]"
2011-10-17,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'DLF.NS', 'VDAN.NS', 'JNSP.NS', 'JAIA.NS', 'IDFC.NS']","[-0.0236001850994909, -0.059731385485391, -0.0439845056457032, -0.0540015540015539, -0.0161383285302594, -0.028929188255613, -0.0627415321664013, 0.0089532336412989, -0.056347589952478, -0.0276775265678894]"
2011-10-24,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'DLF.NS', 'VDAN.NS', 'JNSP.NS', 'JAIA.NS', 'LART.NS']","[0.0999999999999998, 0.1638892369377269, 0.0920162692479331, 0.168788501026694, 0.1107205623901581, 0.1062694530902623, -0.0026679602231385, 0.0923251203625035, 0.1316546762589929, 0.0497074011792503]"
2011-10-31,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'DLF.NS', 'VDAN.NS', 'ACC.NS', 'JAIA.NS', 'LART.NS']","[-0.0435157259801809, -0.016040477984713, -0.0024782747442437, -0.0214335910049192, 0.0501054852320674, -0.0048231511254019, 0.021157587548638, 0.0060023022529188, 0.007628734901462, -0.0164432138050935]"
2011-11-07,"['SAIL.NS', 'RLIN.NS', 'STTE.NS', 'HALC.NS', 'RPOL.NS', 'DLF.NS', 'VDAN.NS', 'IDFC.NS', 'JAIA.NS', 'LART.NS']","[-0.0522522522522522, -0.0072210065645514, -0.0683229875039773, -0.0757630161579893, 0.0190858864892013, -0.0811793214862681, -0.0140509645153606, -0.0758754873652325, -0.0429022082018928, -0.0454187465930168]"
